deviceCategory,unifiedPagePathScreen,unifiedScreenName,screenPageViews
desktop,/home,보리보리,2075
desktop,/plan/271144,기획전,614
desktop,/mypage,보리보리,468
desktop,/search/menu,보리보리,432
desktop,/order/result,보리보리,415
desktop,/member/login,보리보리,355
desktop,/cart,보리보리,348
desktop,/order/main,보리보리,312
desktop,/plan/271144,보리보리,278
desktop,/home/best/product,보리보리,202
desktop,/mypage/order/list,보리보리,196
desktop,/plan/267054,보리보리,191
desktop,/plan/272266,기획전,156
desktop,/home,9월 보리위크 애프터 세일🍂 MAX 89% OFF,115
desktop,/plan/207025,기획전,108
desktop,/home/hotdeal,보리보리,98
desktop,/member/success,보리보리,97
desktop,/product/405657286,보리보리,94
desktop,/plan/131621,기획전,90
desktop,/search/menu,9월 보리위크 애프터 세일🍂 MAX 89% OFF,87
desktop,/home/exclusive,보리보리 보리에디션,85
desktop,/home,상품상세,77
desktop,/mypage/order/list/,보리보리,77
desktop,/mypage/order/detail,주문/배송조회,76
desktop,/mypage/order/orderlist,보리보리,76
desktop,/product/404910154,보리보리,76
desktop,/categories,보리보리,65
desktop,/home/designer,보리보리,65
desktop,/product/404910034,보리보리,64
desktop,/product/405657394,보리보리,64
desktop,/mypage/coupon,쿠폰,63
desktop,/plan/272507,기획전,58
desktop,/plan/28396,기획전,57
desktop,/plan/81889,기획전,56
desktop,/product/376900321,보리보리,51
desktop,/item/34506,보리보리,50
desktop,/plan/270286,기획전,50
desktop,/product/403821349,상품상세,49
desktop,/mypage,주문/배송조회,48
desktop,/plan/271675,기획전,48
desktop,/order/main,토스페이 결제 시 2% 즉시할인,46
desktop,/deal/319064014,보리보리,45
desktop,/item/34416,보리보리,44
desktop,/mypage,9월 보리위크 애프터 세일🍂 MAX 89% OFF,44
desktop,/deal/342538147,보리보리,43
desktop,/home/ticket,보리보리,42
desktop,/deal/404223463,보리보리,41
desktop,/member/find/id,보리보리,41
desktop,/mypage/latest-views,보리보리,41
desktop,/plan/85354,기획전,41
desktop,/plan/92186,보리보리,41
desktop,/product/405187099,상품상세,41
desktop,/deal/404721014,보리보리,40
desktop,/deal/303089524,보리보리,39
desktop,/plan/269923,기획전,39
desktop,/product/405663974,보리보리,39
desktop,/product/405665329,보리보리,39
desktop,/plan/179509,기획전,38
desktop,/deal/341126107,보리보리,37
desktop,/plan/198577,기획전,36
desktop,/plan/271573,기획전,34
desktop,/member/find/password,보리보리,33
desktop,/cart,9월 보리위크 애프터 세일🍂 MAX 89% OFF,32
desktop,/item/34418,보리보리,32
desktop,/plan/272266,보리보리,32
desktop,/plan/43216,기획전,32
desktop,/product/338754494,보리보리,32
desktop,/product/404910163,보리보리,31
desktop,/deal/403585919,보리보리,30
desktop,/mypage/order/list,주문상세,30
desktop,/plan/73310,보리보리,30
desktop,/item/34415,보리보리,28
desktop,/brand,보리보리,27
desktop,/mypage/info/verify,보리보리,27
desktop,/mypage/order/cancel/result,주문취소,26
desktop,/item/34686,보리보리,25
desktop,/plan/271211,기획전,25
desktop,/product/404808530,상품상세,25
