deviceCategory,unifiedPagePathScreen,unifiedScreenName,screenPageViews
tablet,/plan/271144,기획전,59
tablet,/mypage,보리보리,50
tablet,/home,보리보리,34
tablet,/cart,보리보리,29
tablet,ListFragment,홈,27
tablet,/member/login,보리보리,24
tablet,/plan/267054,기획전,20
tablet,/order/main,보리보리,19
tablet,/plan/267317,기획전,18
tablet,/mypage/order/list/,보리보리,15
tablet,/order/result,보리보리,15
tablet,/mypage,주문/배송조회,13
tablet,/plan/198577,기획전,12
tablet,/plan/267054,보리보리,12
tablet,/plan/271144,보리보리,12
tablet,/product/300887192,보리보리,11
tablet,Boribori_iOS.HomeBodyViewController,메인화면,10
tablet,/mypage/order/list,보리보리,9
tablet,/order/main,베지밀 에이스 저당두유 190mlx96팩,9
tablet,/plan/272266,기획전,9
tablet,LnbEventFragment,이벤트,9
tablet,/categories,9월 보리위크 애프터 세일🍂 MAX 89% OFF,8
tablet,/home,9월 보리위크 애프터 세일🍂 MAX 89% OFF,8
tablet,/mypage,회원정보관리,8
tablet,Boribori_iOS.BestViewController,베스트,8
tablet,/mypage,100% 당첨! 꽝 없는 보리복권,7
tablet,/mypage,9월 출석체크 이벤트,7
tablet,/mypage/info/verify,보리보리,7
tablet,/product/374768246,상품상세,7
tablet,/product/404910154,보리보리,7
tablet,/cart,[행복한백화점][소이]레터링후드티 24S0454,6
tablet,/mypage/latest-views,보리보리,6
tablet,/plan/271144,9월 보리위크 애프터 세일🍂 MAX 89% OFF,6
tablet,/plan/272266,보리보리,6
tablet,/plan/5737,기획전,6
tablet,/product/356756384,상품상세,6
tablet,/product/398655796,보리보리,6
tablet,/deal/303089524,딜 상세,5
tablet,/plan/267054,100% 당첨! 꽝 없는 보리복권,5
tablet,/plan/271675,기획전,5
tablet,/product/300887192,상품상세,5
tablet,/product/387186946,상품상세,5
tablet,/product/404604286,상품상세,5
tablet,/product/404678425,케이블 니트후드점퍼,5
tablet,Boribori_iOS.EventViewController,이벤트,5
tablet,/cart,9월 보리위크 애프터 세일🍂 MAX 89% OFF,4
tablet,/cart,[2color]여아 랩 크롭 라운드 T-shirt,4
tablet,/cart,[더센트럴 소이주니어] 오트밀 와이드 셋업바지 25F0756,4
tablet,/cart,[행복한백화점][소이]스트릿후드티 24S1409,4
tablet,/categories,보리보리,4
tablet,/member/find/id,보리보리,4
tablet,/member/find/password,보리보리,4
tablet,/mypage,9월 보리위크 애프터 세일🍂 MAX 89% OFF,4
tablet,/plan/131621,기획전,4
tablet,/plan/267054,9월 출석체크 이벤트,4
tablet,/product/343552198,[보리에디션] 나이키 기모 조던 플리스 팬츠 956661-023,4
tablet,/product/344946555,상품상세,4
tablet,/product/370950684,상품상세,4
tablet,/product/392224014,상품상세,4
tablet,/product/404637483,[NIXKIDS]유니) V넥 덕다운 경량 점퍼(FKQWCUE702P),4
tablet,/product/404678425,상품상세,4
tablet,/product/405376692,상품상세,4
tablet,/search/menu,보리보리,4
tablet,BestFragment,베스트,4
tablet,/brand/BL337817,삐삐네옷가게 주니어 초등 고고스트릿 라인 카고바지 집업 상하,3
tablet,/cart,[2color]여아 밑단 변형 라운드 T-shirt,3
tablet,/cart,[2color]여아 테이프 포인트 맨투맨 T-shirt,3
tablet,/cart,[행복한백화점][소이]유니블랙후드티 24S0431,3
tablet,/cart,빔보빔바 뉴하트플랫 여아구두,3
tablet,/cart,삐삐네옷가게 여아 주니어 트렌디 집업 크롭 트레이닝 상하,3
tablet,/cart,스케이트클럽반팔티[티셔츠TLCZ799],3
tablet,/cart,플로우보드7부티셔츠[티셔츠TLCZ791],3
tablet,/deal/303089524,[네파키즈 브랜드데이] 역시즌 프리오더&가을오픈,3
tablet,/deal/342538147,보리보리,3
tablet,/deal/353565439,딜 상세,3
tablet,/deal/403129681/400672438,[보리에디션] 2WAY플리스패딩(리버시블) _GN (13C2911601),3
tablet,/deal/403585919,딜 상세,3
tablet,/item/34504,보리보리,3
tablet,/item/34679,보리보리,3
tablet,/member/login,주문/배송조회,3
tablet,/member/success,보리보리,3
tablet,/mypage/order/returnExchange/,보리보리,3
tablet,/order/main,토스페이 결제 시 2% 즉시할인,3
tablet,/plan/264280,기획전,3
tablet,/plan/271144,[NIXKIDS]유니) V넥 덕다운 경량 점퍼(FKQWCUE702P),3
tablet,/plan/271211,기획전,3
tablet,/plan/271213,기획전,3
tablet,/product/328492554,상품상세,3
tablet,/product/343552198,상품상세,3
tablet,/product/345536984,상품상세,3
tablet,/product/345655296,상품상세,3
tablet,/product/346138172,보리보리,3
tablet,/product/346681832,상품상세,3
tablet,/product/355603759,상품상세,3
tablet,/product/359077045,상품상세,3
tablet,/product/359901483,상품상세,3
tablet,/product/367240507,보리보리,3
tablet,/product/369711577,[미피] 멜라니 스타 상하 FZ551204,3
tablet,/product/370539395,상품상세,3
tablet,/product/375614459,보리보리,3
tablet,/product/385935933,[게스키즈] 체크 보드 맨투맨 스웻셔츠 (G31DBT010-T),3
tablet,/product/392224008,상품상세,3
tablet,/product/392224014,스케이트클럽반팔티[티셔츠TLCZ799],3
tablet,/product/402220084,상품상세,3
tablet,/product/404028996,상품상세,3
tablet,/product/404029217,스탠다드핏 셋업 조거바지,3
tablet,/product/404637483,상품상세,3
tablet,/product/404910034,보리보리,3
tablet,/product/404910154,[즉시전송] MS 윈도우11 Home Pro 영구한글버전 정품키(USB별도판매) 인증키,3
tablet,/product/405657286,보리보리,3
tablet,/product/405790492,상품상세,3
tablet,/product/405790494,상품상세,3
tablet,/product/405875835,상품상세,3
tablet,/product/405875864,상품상세,3
tablet,/brand,보리보리,2
tablet,/brand,치크,2
tablet,/brand/,더데이걸즈,2
tablet,/brand/,보리보리,2
tablet,/brand/BL200443,브랜드,2
tablet,/brand/BL200455,쁘띠앙팡 세이브존03 프리슈크림세트 PCX59GUF61,2
tablet,/brand/BL200477,브랜드,2
tablet,/brand/BL201306,브랜드,2
tablet,/brand/BL202563,더데이걸 단정케이블카라스웨터TGKA25102,2
tablet,/brand/BL202563,브랜드,2
tablet,/brand/BL202626,케이블 니트후드점퍼,2
tablet,/brand/BL337817,삐삐네옷가게 여아용 라인데님 자켓 와이드 팬츠 상하,2
tablet,/brand/BL337817,삐삐네옷가게 여아용 키즈 라인핏 집업 트레이닝 상하,2
tablet,/brand/BL337817,삐삐네옷가게 주니어 여아용 체크 스트릿 남방 셔츠,2
tablet,/brand/BL337817,삐삐네옷가게 초등 여아용 모던라인 트랙 상하세트,2
tablet,/brand/BL339143,[미피] 멜라니 스타 상하 FZ551204,2
tablet,/brand/BL339143,[미피] 멜라니 스타 치랭스 상하 FZ551205,2
tablet,/brand/BL339143,[미피] 프랜즈 댄 원마일 상하 FY513002,2
tablet,/brand/BL345426,보리보리,2
tablet,/brand/BL348860,[볼컴키즈]베이직 반팔 라운드 티셔츠 D5M009,2
tablet,/brand/BL349973,스케이트클럽반팔티[티셔츠TLCZ799],2
tablet,/brand/BL349973,엠블럼로고반집셋업[세트TLD562],2
tablet,/brand/BL349973,플로우보드7부티셔츠[티셔츠TLCZ791],2
tablet,/cart,[2color]여아 가벼운 베이직 T-shirt,2
tablet,/cart,[2color]여아 그래픽 레이어드 크롭T-shirt,2
tablet,/cart,[2color]여아 라운드 크롭 레터링 조끼,2
tablet,/cart,[2color]여아 셔링 레이어드 T-shirt,2
tablet,/cart,[보리에디션] [헤지스키즈] 여아 FLAKIKI 포켓 원피스,2
tablet,/cart,네파키즈/본사 KK65306 러브 크롭 맨투맨,2
tablet,/cart,모달 아동 주니어 잠옷 파자마 초등 학생 내의 실내복 셋업 브이넥 베이지 5부,2
tablet,/cart,버블트리 [T454]허그나그랑티,2
tablet,/cart,빔보빔바 그라데이션리본플랫 여아구두,2
tablet,/cart,빔보빔바 클링리본플랫(LED) 여아구두,2
tablet,/cart,삐삐네옷가게 주니어 초등 고고스트릿 라인 카고바지 집업 상하,2
tablet,/cart,삐삐네옷가게 초등 여아용 모던라인 트랙 상하세트,2
tablet,/cart,스탠다드핏 셋업 조거바지,2
tablet,/cart,아트박스/포유렐라 홀로그램 우산 오로라 투명 비닐 장우산 자동우산,2
tablet,/cart,여아 스트릿 크롭 후드점퍼 24S5151,2
tablet,/cart,유아아동양말 j시그널 5족세트 아기남아여아 양말,2
tablet,/cart,최근 본 상품,2
tablet,/cart,케이블 니트후드점퍼,2
tablet,/cart,키링 와이드카고조거바지,2
tablet,/cart,행텐틴즈 하이덴시티 카고 조거팬츠_051(14480-038-601-31),2
tablet,/deal/246156661,보리보리,2
tablet,/deal/247393916,[해피프린스] 추석빔 준비 아기 한복&복주머니,2
tablet,/deal/326270328,2%+8% 더블쿠폰 무스텔라 안심 스킨케어 베이비 샴푸/바디로션/클렌징 외 65종 한정특가,2
tablet,/deal/326270328,[+50ml 2개] 무스텔라 이드라베베 페이셜 크림 40ml 2개 (수분크림),2
tablet,/deal/326270328,보리보리,2
tablet,/deal/326270328/289978277,[+50ml 2개] 무스텔라 이드라베베 페이셜 크림 40ml 2개 (수분크림),2
tablet,/deal/342538147,딜 상세,2
tablet,/deal/346448071,[실내복세트]브레드체크(24FW),2
tablet,/deal/346448071,딜 상세,2
tablet,/deal/346448071,스케이트클럽반팔티[티셔츠TLCZ799],2
tablet,/deal/353565439,보리보리 주니어패션,2
tablet,/deal/393904491,딜 상세,2
tablet,/deal/403585919,[베베쥬] 25 여름 노마진 & 가을 신상 보리 특가,2
tablet,/deal/404170523,딜 상세,2
tablet,/deal/405127284/393148999,[보리에디션] 피터젠슨 에센셜 맨투맨 PTF11TM01M_CR,2
tablet,/deal/405804224,빔보빔바 비비에쥬얼리 여아구두,2
tablet,/deal/405804224,빔보빔바 샤인리본플랫 여아구두,2
tablet,/deal/405804224,빔보빔바 하트글리터메리제인 핑크 여아구두,2
tablet,/deal/405804224/391833598,빔보빔바 하트글리터메리제인 핑크 여아구두,2
tablet,/home,주문/배송조회,2
tablet,/item/34484,보리보리 스커트,2
tablet,/item/34509,보리보리 가방/잡화,2
tablet,/item/34678,보리보리 팬츠 긴바지,2
tablet,/item/34679,보리보리 팬츠 트레이닝,2
tablet,/item/34679,중청 부츠컷 데님 C248DNG03P,2
tablet,/member/change-password,보리보리,2
tablet,/mypage,[네파키즈 브랜드데이] 역시즌 프리오더&가을오픈,2
tablet,/mypage/coupon,쿠폰,2
tablet,/mypage/favorite,보리보리,2
tablet,/mypage/latest-views,삐삐네옷가게 여아 주니어 트렌디 집업 크롭 트레이닝 상하,2
tablet,/mypage/latest-views,삐삐네옷가게 여아용 키즈 라인핏 집업 트레이닝 상하,2
tablet,/mypage/order/cancel,주문/배송조회,2
tablet,/mypage/order/list,주문취소,2
tablet,/mypage/order/list/,네파키즈/본사 KL65954 포인트 레이어드 세트,2
