deviceCategory,unifiedPagePathScreen,unifiedScreenName,screenPageViews
desktop,/home,보리보리,1963
desktop,/mypage,보리보리,468
desktop,/order/result,보리보리,419
desktop,/cart,보리보리,414
desktop,/search/menu,보리보리,397
desktop,/order/main,보리보리,335
desktop,/plan/271144,기획전,313
desktop,/member/login,보리보리,261
desktop,/plan/271144,보리보리,207
desktop,/plan/272266,기획전,153
desktop,/mypage/order/list,보리보리,150
desktop,/plan/267054,보리보리,150
desktop,/home/best/product,보리보리,148
desktop,/product/405657286,보리보리,106
desktop,/home/hotdeal,보리보리,102
desktop,/plan/207025,기획전,92
desktop,/member/success,보리보리,88
desktop,/plan/265205,보리보리,86
desktop,/plan/3740,기획전,84
desktop,/deal/357832398,보리보리,82
desktop,/mypage/order/list/,보리보리,82
desktop,/categories,보리보리,81
desktop,/item/34506,보리보리,69
desktop,/shopLiveList,보리보리,68
desktop,/home/topclass,보리보리,67
desktop,/mypage/info/edit,보리보리,64
desktop,/home,상품상세,62
desktop,/mypage/order/orderlist,보리보리,57
desktop,/plan/271675,기획전,57
desktop,/product/405663974,보리보리,57
desktop,/plan/202042,기획전,55
desktop,/plan/28396,기획전,55
desktop,/mypage/latest-views,보리보리,54
desktop,/plan/227815,기획전,51
desktop,/product/405657394,보리보리,51
desktop,/search/menu,9월 보리위크 애프터 세일🍂 MAX 89% OFF,50
desktop,/order/main,토스페이 결제 시 2% 즉시할인,48
desktop,/home,9월 보리위크 애프터 세일🍂 MAX 89% OFF,46
desktop,/home/exclusive,보리보리 보리에디션,46
desktop,/product/403821349,상품상세,46
desktop,/plan/9759,기획전,44
desktop,/mypage,주문/배송조회,43
desktop,/plan/81889,기획전,43
desktop,/plan/179509,기획전,42
desktop,/member/find/password,보리보리,40
desktop,/plan/17672,기획전,39
desktop,/plan/17974,기획전,39
desktop,/plan/272507,기획전,39
desktop,/plan/3613,기획전,39
desktop,/home/designer,보리보리,36
desktop,/item/34728,보리보리,36
desktop,/item/34418,보리보리,35
desktop,/mypage/coupon,쿠폰,35
desktop,/product/404910034,보리보리,35
desktop,/cart,9월 보리위크 애프터 세일🍂 MAX 89% OFF,34
desktop,/item/34416,보리보리,33
desktop,/member/find/id,보리보리,33
desktop,/plan/215110,기획전,33
desktop,/plan/46944,기획전,33
desktop,/brand,보리보리,31
desktop,/product/404808530,상품상세,31
desktop,/plan/124758,기획전,30
desktop,/mypage/info/verify,보리보리,29
desktop,/mypage/order/detail,주문/배송조회,29
desktop,/home,17일 초주력! 루솔 인기 간식 이유식 Best,28
desktop,/home,"9/17 DAKS 단, 하루! 라이브 방송 혜택",28
desktop,/item/34686,보리보리,28
desktop,/plan/271111,보리보리,28
desktop,/plan/271243,기획전,28
desktop,/product/405187099,상품상세,28
desktop,/product/405155658,상품상세,27
desktop,/deal/302665709,보리보리,26
desktop,/home/ticket,보리보리,26
desktop,/plan/265205,기획전,26
desktop,/deal/405656251,보리보리,25
desktop,/home/exclusive,보리보리,24
desktop,/member/login,9월 출석체크 이벤트,24
desktop,/deal/390913319,보리보리,23
desktop,/home,보리보리 상하복,23
desktop,/plan/97102,기획전,23
desktop,/item/34415,보리보리,22
desktop,/plan/268077,기획전,22
desktop,/plan/271573,기획전,22
desktop,/plan/273256,기획전,22
desktop,/cart,묶음배송 상품,21
desktop,/deal/404721014,보리보리,21
desktop,/home/plus,보리보리,21
desktop,/item/34766,보리보리,21
desktop,/plan/272266,보리보리,21
desktop,/product/353339512,상품상세,21
desktop,/product/372262406,상품상세,21
desktop,/product/404910034,상품상세,21
desktop,/product/405187109,상품상세,21
desktop,/deal/315039882,보리보리,20
desktop,/home,보리보리 베스트 상품,20
desktop,/home/event,보리보리 이벤트,20
desktop,/member/login,회원정보수정,20
desktop,/plan/144128,기획전,20
desktop,/plan/179509,보리보리,20
desktop,/plan/227815,보리보리,20
desktop,/plan/234349,기획전,20
desktop,/product/401749014,상품상세,20
desktop,/product/405657286,MICROSOFT 윈도우 11 Home 처음사용자용 한글,20
desktop,/categories,9월 보리위크 애프터 세일🍂 MAX 89% OFF,19
desktop,/customer,보리보리,19
desktop,/member/login,MICROSOFT 윈도우 11 Home 처음사용자용 한글,19
desktop,/mypage,회원정보관리,19
desktop,/plan/268837,기획전,19
desktop,/plan/269923,기획전,19
desktop,/product/376026814,상품상세,19
desktop,/product/385066547,상품상세,19
desktop,/deal/385078844,보리보리,18
desktop,/plan/271144,9월 보리위크 애프터 세일🍂 MAX 89% OFF,18
desktop,/product/334446999,상품상세,18
desktop,/product/372262404,상품상세,18
desktop,/product/405657286,상품상세,18
desktop,/deal/319064014,보리보리,17
desktop,/deal/405930586,보리보리,17
desktop,/home,브랜드,17
desktop,/item/34545,보리보리,17
desktop,/mypage,9월 보리위크 애프터 세일🍂 MAX 89% OFF,17
desktop,/product/379646242,보리보리,17
desktop,/product/405232197,보리보리,17
desktop,/product/405665329,보리보리,17
desktop,/search/menu,2025년 신규회원 웰컴 베네핏,17
desktop,/cart,주문/배송조회,16
desktop,/deal/366329887,보리보리,16
desktop,/mypage,최근 본 상품,16
desktop,/mypage/favorite,보리보리,16
desktop,/plan/267054,기획전,16
desktop,/plan/3613,보리보리,16
desktop,/product/405665329,상품상세,16
